Running MPCC

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
k=496, solve_time = 10.31 ms
du = [ 2.09032297e-08 -9.24843075e-08]  | limits = [0.25, 0.6]
k=497, solve_time = 10.31 ms
du = [ 2.07975231e-08 -9.20218350e-08]  | limits = [0.25, 0.6]
k=498, solve_time = 10.21 ms
du = [ 2.06925197e-08 -9.15623952e-08]  | limits = [0.25, 0.6]
k=499, solve_time = 10.23 ms
du = [ 2.05881985e-08 -9.11059587e-08]  | limits = [0.25, 0.6]
k=500, solve_time = 10.22 ms
du = [ 2.04845609e-08 -9.06524971e-08]  | limits = [0.25, 0.6]
k=501, solve_time = 10.26 ms
du = [ 2.03816100e-08 -9.02019819e-08]  | limits = [0.25, 0.6]
k=502, solve_time = 10.26 ms
du = [ 2.02793256e-08 -8.97543852e-08]  | limits = [0.25, 0.6]
k=503, solve_time = 10.23 ms
du = [ 2.01776923e-08 -8.93096796e-08]  | limits = [0.25, 0.6]
k=504, solve_time = 10.27 ms
du = [ 2.00767326e-08 -8.88678375e-08]  | limits = [0.25, 0.6]
k=505, solve_time = 10.25 ms
du = [ 1.99764192e-08 -8.84288323e-08]  | limits = [0.25, 0.6]
k=506, solve_time = 10.23 ms
du = [ 1.98767501e-08 -8.79926376e-08]  | limits = [0.25, 0.6]
k=507, solve_time = 10.27 ms
du = [ 1.97777220e-08 -8.75592265e-08]  | limits = [0.25, 0.6]
k=508, solve_time = 10.30 ms
du = [ 1.96793249e-08 -8.71285736e-08]  | limits = [0.25, 0.6]
k=509, solve_time = 10.20 ms
du = [ 1.95815545e-08 -8.67006531e-08]  | limits = [0.25, 0.6]
k=510, solve_time = 10.21 ms
du = [ 1.94844079e-08 -8.62754400e-08]  | limits = [0.25, 0.6]
k=511, solve_time = 10.23 ms
du = [ 1.93878733e-08 -8.58529088e-08]  | limits = [0.25, 0.6]
k=512, solve_time = 10.26 ms
du = [ 1.92919500e-08 -8.54330353e-08]  | limits = [0.25, 0.6]
k=513, solve_time = 10.14 ms
du = [ 1.91966342e-08 -8.50157948e-08]  | limits = [0.25, 0.6]
k=514, solve_time = 10.17 ms
du = [ 1.91019143e-08 -8.46011634e-08]  | limits = [0.25, 0.6]
k=515, solve_time = 10.18 ms
du = [ 1.90077792e-08 -8.41891173e-08]  | limits = [0.25, 0.6]
k=516, solve_time = 10.20 ms
du = [ 1.89142499e-08 -8.37796330e-08]  | limits = [0.25, 0.6]
k=517, solve_time = 10.25 ms
du = [ 1.88212833e-08 -8.33726871e-08]  | limits = [0.25, 0.6]
k=518, solve_time = 10.25 ms
du = [ 1.87289043e-08 -8.29682569e-08]  | limits = [0.25, 0.6]
k=519, solve_time = 10.16 ms
du = [ 1.86370945e-08 -8.25663195e-08]  | limits = [0.25, 0.6]
k=520, solve_time = 10.24 ms
du = [ 1.85458528e-08 -8.21668528e-08]  | limits = [0.25, 0.6]
k=521, solve_time = 10.17 ms
du = [ 1.84551666e-08 -8.17698345e-08]  | limits = [0.25, 0.6]
k=522, solve_time = 10.19 ms
du = [ 1.83650397e-08 -8.13752427e-08]  | limits = [0.25, 0.6]
k=523, solve_time = 10.26 ms
du = [ 1.8275468e-08 -8.0983056e-08]  | limits = [0.25, 0.6]
k=524, solve_time = 10.17 ms
du = [ 1.81864386e-08 -8.05932529e-08]  | limits = [0.25, 0.6]
k=525, solve_time = 10.27 ms
du = [ 1.80979445e-08 -8.02058122e-08]  | limits = [0.25, 0.6]
k=526, solve_time = 10.26 ms
du = [ 1.80099917e-08 -7.98207132e-08]  | limits = [0.25, 0.6]
k=527, solve_time = 10.18 ms
du = [ 1.79225795e-08 -7.94379355e-08]  | limits = [0.25, 0.6]
k=528, solve_time = 10.27 ms
du = [ 1.78356788e-08 -7.90574584e-08]  | limits = [0.25, 0.6]
k=529, solve_time = 10.25 ms
du = [ 1.77493109e-08 -7.86792621e-08]  | limits = [0.25, 0.6]
k=530, solve_time = 10.20 ms
du = [ 1.76634558e-08 -7.83033264e-08]  | limits = [0.25, 0.6]
k=531, solve_time = 10.24 ms
du = [ 1.75781171e-08 -7.79296319e-08]  | limits = [0.25, 0.6]
k=532, solve_time = 10.31 ms
du = [ 1.74932757e-08 -7.75581591e-08]  | limits = [0.25, 0.6]
k=533, solve_time = 10.15 ms
du = [ 1.74089555e-08 -7.71888889e-08]  | limits = [0.25, 0.6]
k=534, solve_time = 10.26 ms
du = [ 1.73251249e-08 -7.68218021e-08]  | limits = [0.25, 0.6]
k=535, solve_time = 10.24 ms
du = [ 1.72417871e-08 -7.64568804e-08]  | limits = [0.25, 0.6]
k=536, solve_time = 10.16 ms
du = [ 1.71589443e-08 -7.60941048e-08]  | limits = [0.25, 0.6]
k=537, solve_time = 10.24 ms
du = [ 1.70765945e-08 -7.57334572e-08]  | limits = [0.25, 0.6]
k=538, solve_time = 10.24 ms
du = [ 1.69947176e-08 -7.53749195e-08]  | limits = [0.25, 0.6]
k=539, solve_time = 10.21 ms
du = [ 1.69133237e-08 -7.50184738e-08]  | limits = [0.25, 0.6]
k=540, solve_time = 10.17 ms
du = [ 1.68324000e-08 -7.46641025e-08]  | limits = [0.25, 0.6]
k=541, solve_time = 10.20 ms
du = [ 1.67519494e-08 -7.43117879e-08]  | limits = [0.25, 0.6]
k=542, solve_time = 10.24 ms
du = [ 1.66719684e-08 -7.39615129e-08]  | limits = [0.25, 0.6]
k=543, solve_time = 10.19 ms
du = [ 1.65924419e-08 -7.36132603e-08]  | limits = [0.25, 0.6]
k=544, solve_time = 10.20 ms
du = [ 1.65133817e-08 -7.32670133e-08]  | limits = [0.25, 0.6]
k=545, solve_time = 10.21 ms
du = [ 1.64347693e-08 -7.29227552e-08]  | limits = [0.25, 0.6]
k=546, solve_time = 10.26 ms
du = [ 1.63566135e-08 -7.25804694e-08]  | limits = [0.25, 0.6]
k=547, solve_time = 10.19 ms
du = [ 1.62789027e-08 -7.22401396e-08]  | limits = [0.25, 0.6]
k=548, solve_time = 10.21 ms
du = [ 1.62016313e-08 -7.19017497e-08]  | limits = [0.25, 0.6]
k=549, solve_time = 10.24 ms
du = [ 1.61248029e-08 -7.15652837e-08]  | limits = [0.25, 0.6]
k=550, solve_time = 10.21 ms
du = [ 1.60484129e-08 -7.12307258e-08]  | limits = [0.25, 0.6]
k=551, solve_time = 10.26 ms
du = [ 1.59724494e-08 -7.08980606e-08]  | limits = [0.25, 0.6]
k=552, solve_time = 10.17 ms
du = [ 1.58969159e-08 -7.05672724e-08]  | limits = [0.25, 0.6]
k=553, solve_time = 10.28 ms
du = [ 1.58218072e-08 -7.02383461e-08]  | limits = [0.25, 0.6]
k=554, solve_time = 10.27 ms
du = [ 1.57471244e-08 -6.99112665e-08]  | limits = [0.25, 0.6]
k=555, solve_time = 10.27 ms
du = [ 1.56728608e-08 -6.95860188e-08]  | limits = [0.25, 0.6]
k=556, solve_time = 10.27 ms
du = [ 1.55989979e-08 -6.92625882e-08]  | limits = [0.25, 0.6]
k=557, solve_time = 10.41 ms
du = [ 1.55255682e-08 -6.89409602e-08]  | limits = [0.25, 0.6]
k=558, solve_time = 10.35 ms
du = [ 1.54525239e-08 -6.86211202e-08]  | limits = [0.25, 0.6]
k=559, solve_time = 10.37 ms
du = [ 1.53799019e-08 -6.83030540e-08]  | limits = [0.25, 0.6]
k=560, solve_time = 10.45 ms
du = [ 1.53076727e-08 -6.79867475e-08]  | limits = [0.25, 0.6]
k=561, solve_time = 10.34 ms
du = [ 1.52358455e-08 -6.76721869e-08]  | limits = [0.25, 0.6]
k=562, solve_time = 10.38 ms
du = [ 1.51644095e-08 -6.73593581e-08]  | limits = [0.25, 0.6]
k=563, solve_time = 10.35 ms
du = [ 1.50933668e-08 -6.70482476e-08]  | limits = [0.25, 0.6]
k=564, solve_time = 10.28 ms
du = [ 1.50227156e-08 -6.67388420e-08]  | limits = [0.25, 0.6]
k=565, solve_time = 10.41 ms
du = [ 1.49524516e-08 -6.64311278e-08]  | limits = [0.25, 0.6]
k=566, solve_time = 10.30 ms
du = [ 1.48825634e-08 -6.61250917e-08]  | limits = [0.25, 0.6]
k=567, solve_time = 10.30 ms
du = [ 1.48130558e-08 -6.58207209e-08]  | limits = [0.25, 0.6]
k=568, solve_time = 10.25 ms
du = [ 1.47439312e-08 -6.55180023e-08]  | limits = [0.25, 0.6]
k=569, solve_time = 10.21 ms
du = [ 1.46751713e-08 -6.52169232e-08]  | limits = [0.25, 0.6]
k=570, solve_time = 10.19 ms
du = [ 1.46067944e-08 -6.49174709e-08]  | limits = [0.25, 0.6]
k=571, solve_time = 10.19 ms
du = [ 1.45387770e-08 -6.46196328e-08]  | limits = [0.25, 0.6]
k=572, solve_time = 10.27 ms
du = [ 1.44711192e-08 -6.43233967e-08]  | limits = [0.25, 0.6]
k=573, solve_time = 10.26 ms
du = [ 1.44038398e-08 -6.40287502e-08]  | limits = [0.25, 0.6]
k=574, solve_time = 10.27 ms
du = [ 1.43369004e-08 -6.37356813e-08]  | limits = [0.25, 0.6]
k=575, solve_time = 10.30 ms
du = [ 1.42703336e-08 -6.34441778e-08]  | limits = [0.25, 0.6]
k=576, solve_time = 10.29 ms
du = [ 1.42041153e-08 -6.31542282e-08]  | limits = [0.25, 0.6]
k=577, solve_time = 10.24 ms
du = [ 1.41382465e-08 -6.28658205e-08]  | limits = [0.25, 0.6]
k=578, solve_time = 10.19 ms
du = [ 1.40727270e-08 -6.25789433e-08]  | limits = [0.25, 0.6]
k=579, solve_time = 10.32 ms
du = [ 1.40075521e-08 -6.22935846e-08]  | limits = [0.25, 0.6]
k=580, solve_time = 10.23 ms
du = [ 1.39427222e-08 -6.20097339e-08]  | limits = [0.25, 0.6]
k=581, solve_time = 10.24 ms
du = [ 1.38782373e-08 -6.17273791e-08]  | limits = [0.25, 0.6]
k=582, solve_time = 10.26 ms
du = [ 1.38140796e-08 -6.14465096e-08]  | limits = [0.25, 0.6]
k=583, solve_time = 10.26 ms
du = [ 1.37502676e-08 -6.11671142e-08]  | limits = [0.25, 0.6]
k=584, solve_time = 10.18 ms
du = [ 1.36867837e-08 -6.08891820e-08]  | limits = [0.25, 0.6]
k=585, solve_time = 10.30 ms
du = [ 1.36236339e-08 -6.06127022e-08]  | limits = [0.25, 0.6]
k=586, solve_time = 10.32 ms
du = [ 1.35608109e-08 -6.03376645e-08]  | limits = [0.25, 0.6]
k=587, solve_time = 10.32 ms
du = [ 1.34983062e-08 -6.00640577e-08]  | limits = [0.25, 0.6]
k=588, solve_time = 10.26 ms
du = [ 1.34361352e-08 -5.97918719e-08]  | limits = [0.25, 0.6]
k=589, solve_time = 10.30 ms
du = [ 1.33742811e-08 -5.95210964e-08]  | limits = [0.25, 0.6]
k=590, solve_time = 10.26 ms
du = [ 1.33127453e-08 -5.92517212e-08]  | limits = [0.25, 0.6]
k=591, solve_time = 10.21 ms
du = [ 1.32515286e-08 -5.89837361e-08]  | limits = [0.25, 0.6]
k=592, solve_time = 10.27 ms
du = [ 1.31906147e-08 -5.87171309e-08]  | limits = [0.25, 0.6]
k=593, solve_time = 10.27 ms
du = [ 1.31300244e-08 -5.84518959e-08]  | limits = [0.25, 0.6]
k=594, solve_time = 10.25 ms
du = [ 1.30697421e-08 -5.81880213e-08]  | limits = [0.25, 0.6]
k=595, solve_time = 10.24 ms
du = [ 1.30097658e-08 -5.79254974e-08]  | limits = [0.25, 0.6]
k=596, solve_time = 10.23 ms
du = [ 1.29500913e-08 -5.76643142e-08]  | limits = [0.25, 0.6]
k=597, solve_time = 10.19 ms
du = [ 1.28907204e-08 -5.74044626e-08]  | limits = [0.25, 0.6]
k=598, solve_time = 10.19 ms
du = [ 1.28316486e-08 -5.71459331e-08]  | limits = [0.25, 0.6]
k=599, solve_time = 10.16 ms
du = [ 1.27728866e-08 -5.68887163e-08]  | limits = [0.25, 0.6]
k=600, solve_time = 10.21 ms
du = [ 1.27144031e-08 -5.66328028e-08]  | limits = [0.25, 0.6]
k=601, solve_time = 10.24 ms
du = [ 1.26562253e-08 -5.63781839e-08]  | limits = [0.25, 0.6]
k=602, solve_time = 10.24 ms
du = [ 1.25983385e-08 -5.61248500e-08]  | limits = [0.25, 0.6]
k=603, solve_time = 10.19 ms
du = [ 1.25407367e-08 -5.58727927e-08]  | limits = [0.25, 0.6]
k=604, solve_time = 10.27 ms
du = [ 1.24834254e-08 -5.56220027e-08]  | limits = [0.25, 0.6]
k=605, solve_time = 10.25 ms
du = [ 1.24264076e-08 -5.53724714e-08]  | limits = [0.25, 0.6]
k=606, solve_time = 10.22 ms
du = [ 1.23696618e-08 -5.51241900e-08]  | limits = [0.25, 0.6]
k=607, solve_time = 10.20 ms
du = [ 1.23132032e-08 -5.48771501e-08]  | limits = [0.25, 0.6]
k=608, solve_time = 10.31 ms
du = [ 1.22570248e-08 -5.46313430e-08]  | limits = [0.25, 0.6]
k=609, solve_time = 10.22 ms
du = [ 1.22011297e-08 -5.43867603e-08]  | limits = [0.25, 0.6]
k=610, solve_time = 10.25 ms
du = [ 1.21455005e-08 -5.41433937e-08]  | limits = [0.25, 0.6]
k=611, solve_time = 10.26 ms
du = [ 1.20901516e-08 -5.39012349e-08]  | limits = [0.25, 0.6]
k=612, solve_time = 10.25 ms
du = [ 1.20350683e-08 -5.36602757e-08]  | limits = [0.25, 0.6]
k=613, solve_time = 10.23 ms
du = [ 1.19802716e-08 -5.34205080e-08]  | limits = [0.25, 0.6]
k=614, solve_time = 10.27 ms
du = [ 1.19257273e-08 -5.31819237e-08]  | limits = [0.25, 0.6]
k=615, solve_time = 10.23 ms
du = [ 1.18714528e-08 -5.29445151e-08]  | limits = [0.25, 0.6]
k=616, solve_time = 10.24 ms
du = [ 1.1817451e-08 -5.2708274e-08]  | limits = [0.25, 0.6]
k=617, solve_time = 10.22 ms
du = [ 1.17637109e-08 -5.24731927e-08]  | limits = [0.25, 0.6]
k=618, solve_time = 10.20 ms
du = [ 1.17102201e-08 -5.22392636e-08]  | limits = [0.25, 0.6]
k=619, solve_time = 10.30 ms
du = [ 1.16570073e-08 -5.20064790e-08]  | limits = [0.25, 0.6]
k=620, solve_time = 10.25 ms
du = [ 1.16040338e-08 -5.17748314e-08]  | limits = [0.25, 0.6]
k=621, solve_time = 10.26 ms
du = [ 1.15513331e-08 -5.15443133e-08]  | limits = [0.25, 0.6]
k=622, solve_time = 10.29 ms
du = [ 1.14988804e-08 -5.13149168e-08]  | limits = [0.25, 0.6]
k=623, solve_time = 10.22 ms
du = [ 1.14466783e-08 -5.10866354e-08]  | limits = [0.25, 0.6]
k=624, solve_time = 10.23 ms
du = [ 1.1394728e-08 -5.0859461e-08]  | limits = [0.25, 0.6]
k=625, solve_time = 10.27 ms
du = [ 1.13430302e-08 -5.06333869e-08]  | limits = [0.25, 0.6]
k=626, solve_time = 10.28 ms
du = [ 1.12915772e-08 -5.04084059e-08]  | limits = [0.25, 0.6]
k=627, solve_time = 10.25 ms
du = [ 1.12403725e-08 -5.01845107e-08]  | limits = [0.25, 0.6]
k=628, solve_time = 10.23 ms
du = [ 1.11894169e-08 -4.99616943e-08]  | limits = [0.25, 0.6]
k=629, solve_time = 10.23 ms
du = [ 1.11386916e-08 -4.97399502e-08]  | limits = [0.25, 0.6]
k=630, solve_time = 10.30 ms
du = [ 1.10882210e-08 -4.95192709e-08]  | limits = [0.25, 0.6]
k=631, solve_time = 10.27 ms
du = [ 1.10379827e-08 -4.92996500e-08]  | limits = [0.25, 0.6]
k=632, solve_time = 10.22 ms
du = [ 1.09879834e-08 -4.90810806e-08]  | limits = [0.25, 0.6]
k=633, solve_time = 10.16 ms
du = [ 1.09382325e-08 -4.88635562e-08]  | limits = [0.25, 0.6]
k=634, solve_time = 10.31 ms
du = [ 1.08886975e-08 -4.86470698e-08]  | limits = [0.25, 0.6]
k=635, solve_time = 10.24 ms
du = [ 1.08394127e-08 -4.84316151e-08]  | limits = [0.25, 0.6]
k=636, solve_time = 10.21 ms
du = [ 1.07903446e-08 -4.82171858e-08]  | limits = [0.25, 0.6]
k=637, solve_time = 10.27 ms
du = [ 1.07415248e-08 -4.80037750e-08]  | limits = [0.25, 0.6]
k=638, solve_time = 10.22 ms
du = [ 1.06929254e-08 -4.77913767e-08]  | limits = [0.25, 0.6]
k=639, solve_time = 10.27 ms
du = [ 1.06445525e-08 -4.75799843e-08]  | limits = [0.25, 0.6]
k=640, solve_time = 10.28 ms
du = [ 1.05964085e-08 -4.73695918e-08]  | limits = [0.25, 0.6]
k=641, solve_time = 10.24 ms
du = [ 1.05484936e-08 -4.71601929e-08]  | limits = [0.25, 0.6]
k=642, solve_time = 10.30 ms
du = [ 1.05007977e-08 -4.69517813e-08]  | limits = [0.25, 0.6]
k=643, solve_time = 10.35 ms
du = [ 1.04533215e-08 -4.67443511e-08]  | limits = [0.25, 0.6]
k=644, solve_time = 10.28 ms
du = [ 1.04060738e-08 -4.65378963e-08]  | limits = [0.25, 0.6]
k=645, solve_time = 10.20 ms
du = [ 1.03590395e-08 -4.63324106e-08]  | limits = [0.25, 0.6]
k=646, solve_time = 10.32 ms
du = [ 1.03122290e-08 -4.61278885e-08]  | limits = [0.25, 0.6]
k=647, solve_time = 10.21 ms
du = [ 1.02656245e-08 -4.59243240e-08]  | limits = [0.25, 0.6]
k=648, solve_time = 10.28 ms
du = [ 1.02192486e-08 -4.57217111e-08]  | limits = [0.25, 0.6]
k=649, solve_time = 10.24 ms
du = [ 1.01730846e-08 -4.55200442e-08]  | limits = [0.25, 0.6]
k=650, solve_time = 10.21 ms
du = [ 1.01271288e-08 -4.53193174e-08]  | limits = [0.25, 0.6]
k=651, solve_time = 10.21 ms
du = [ 1.00813807e-08 -4.51195254e-08]  | limits = [0.25, 0.6]
k=652, solve_time = 10.27 ms
du = [ 1.00358533e-08 -4.49206623e-08]  | limits = [0.25, 0.6]
k=653, solve_time = 10.24 ms
du = [ 9.99053340e-09 -4.47227227e-08]  | limits = [0.25, 0.6]
k=654, solve_time = 10.28 ms
du = [ 9.94541655e-09 -4.45257009e-08]  | limits = [0.25, 0.6]
k=655, solve_time = 10.24 ms
du = [ 9.90050580e-09 -4.43295917e-08]  | limits = [0.25, 0.6]
k=656, solve_time = 10.26 ms
du = [ 9.85580389e-09 -4.41343894e-08]  | limits = [0.25, 0.6]
k=657, solve_time = 10.25 ms
du = [ 9.81130742e-09 -4.39400889e-08]  | limits = [0.25, 0.6]
k=658, solve_time = 10.26 ms
du = [ 9.76700549e-09 -4.37466846e-08]  | limits = [0.25, 0.6]
k=659, solve_time = 10.28 ms
du = [ 9.72292006e-09 -4.35541716e-08]  | limits = [0.25, 0.6]
k=660, solve_time = 10.20 ms
du = [ 9.67902414e-09 -4.33625445e-08]  | limits = [0.25, 0.6]
k=661, solve_time = 10.27 ms
du = [ 9.63532720e-09 -4.31717979e-08]  | limits = [0.25, 0.6]
k=662, solve_time = 10.23 ms
du = [ 9.59183179e-09 -4.29819270e-08]  | limits = [0.25, 0.6]
k=663, solve_time = 10.27 ms
du = [ 9.54853224e-09 -4.27929267e-08]  | limits = [0.25, 0.6]
k=664, solve_time = 10.21 ms
du = [ 9.50542898e-09 -4.26047916e-08]  | limits = [0.25, 0.6]
k=665, solve_time = 10.25 ms
du = [ 9.46252709e-09 -4.24175171e-08]  | limits = [0.25, 0.6]
k=666, solve_time = 10.23 ms
du = [ 9.41980503e-09 -4.22310982e-08]  | limits = [0.25, 0.6]
k=667, solve_time = 10.28 ms
du = [ 9.37728725e-09 -4.20455299e-08]  | limits = [0.25, 0.6]
k=668, solve_time = 10.23 ms
du = [ 9.33495302e-09 -4.18608071e-08]  | limits = [0.25, 0.6]
k=669, solve_time = 10.26 ms
du = [ 9.29281541e-09 -4.16769254e-08]  | limits = [0.25, 0.6]
k=670, solve_time = 10.31 ms
du = [ 9.25086288e-09 -4.14938798e-08]  | limits = [0.25, 0.6]
k=671, solve_time = 10.23 ms
du = [ 9.20910072e-09 -4.13116656e-08]  | limits = [0.25, 0.6]
k=672, solve_time = 10.28 ms
du = [ 9.16752413e-09 -4.11302779e-08]  | limits = [0.25, 0.6]
k=673, solve_time = 10.28 ms
du = [ 9.12613516e-09 -4.09497125e-08]  | limits = [0.25, 0.6]
k=674, solve_time = 10.25 ms
du = [ 9.08492228e-09 -4.07699643e-08]  | limits = [0.25, 0.6]
k=675, solve_time = 10.20 ms
du = [ 9.04391422e-09 -4.05910290e-08]  | limits = [0.25, 0.6]
k=676, solve_time = 10.23 ms
du = [ 9.00306679e-09 -4.04129020e-08]  | limits = [0.25, 0.6]
k=677, solve_time = 10.21 ms
du = [ 8.96241534e-09 -4.02355786e-08]  | limits = [0.25, 0.6]
k=678, solve_time = 10.27 ms
du = [ 8.92193673e-09 -4.00590547e-08]  | limits = [0.25, 0.6]
k=679, solve_time = 10.28 ms
du = [ 8.88163923e-09 -3.98833256e-08]  | limits = [0.25, 0.6]
k=680, solve_time = 10.20 ms
du = [ 8.84152416e-09 -3.97083870e-08]  | limits = [0.25, 0.6]
k=681, solve_time = 10.31 ms
du = [ 8.80158684e-09 -3.95342345e-08]  | limits = [0.25, 0.6]
k=682, solve_time = 10.22 ms
du = [ 8.76181973e-09 -3.93608638e-08]  | limits = [0.25, 0.6]
k=683, solve_time = 10.28 ms
du = [ 8.72223542e-09 -3.91882706e-08]  | limits = [0.25, 0.6]
k=684, solve_time = 10.23 ms
du = [ 8.68282450e-09 -3.90164507e-08]  | limits = [0.25, 0.6]
k=685, solve_time = 10.82 ms
du = [ 8.64358615e-09 -3.88454000e-08]  | limits = [0.25, 0.6]
k=686, solve_time = 10.34 ms
du = [ 8.60452022e-09 -3.86751141e-08]  | limits = [0.25, 0.6]
k=687, solve_time = 10.37 ms
du = [ 8.56562958e-09 -3.85055890e-08]  | limits = [0.25, 0.6]
k=688, solve_time = 10.48 ms
du = [ 8.52690700e-09 -3.83368204e-08]  | limits = [0.25, 0.6]
k=689, solve_time = 10.40 ms
du = [ 8.48835757e-09 -3.81688045e-08]  | limits = [0.25, 0.6]
k=690, solve_time = 10.28 ms
du = [ 8.44997068e-09 -3.80015371e-08]  | limits = [0.25, 0.6]
k=691, solve_time = 10.33 ms
du = [ 8.41176042e-09 -3.78350143e-08]  | limits = [0.25, 0.6]
k=692, solve_time = 10.16 ms
du = [ 8.37371241e-09 -3.76692319e-08]  | limits = [0.25, 0.6]
k=693, solve_time = 10.24 ms
du = [ 8.33583450e-09 -3.75041862e-08]  | limits = [0.25, 0.6]
k=694, solve_time = 10.19 ms
du = [ 8.29811701e-09 -3.73398733e-08]  | limits = [0.25, 0.6]
k=695, solve_time = 10.22 ms
du = [ 8.2605703e-09 -3.7176289e-08]  | limits = [0.25, 0.6]
k=696, solve_time = 10.27 ms
du = [ 8.22318277e-09 -3.70134298e-08]  | limits = [0.25, 0.6]
k=697, solve_time = 10.31 ms
du = [ 8.18596126e-09 -3.68512917e-08]  | limits = [0.25, 0.6]
k=698, solve_time = 10.25 ms
du = [ 8.14890563e-09 -3.66898709e-08]  | limits = [0.25, 0.6]
k=699, solve_time = 10.19 ms
du = [ 8.1119990e-09 -3.6529164e-08]  | limits = [0.25, 0.6]
k=700, solve_time = 10.30 ms
du = [ 8.07526537e-09 -3.63691667e-08]  | limits = [0.25, 0.6]
k=701, solve_time = 10.27 ms
du = [ 8.03868314e-09 -3.62098758e-08]  | limits = [0.25, 0.6]
k=702, solve_time = 10.30 ms
du = [ 8.00226569e-09 -3.60512873e-08]  | limits = [0.25, 0.6]
k=703, solve_time = 10.20 ms
du = [ 7.96600479e-09 -3.58933977e-08]  | limits = [0.25, 0.6]
k=704, solve_time = 10.22 ms
du = [ 7.92989703e-09 -3.57362034e-08]  | limits = [0.25, 0.6]
k=705, solve_time = 10.21 ms
du = [ 7.89394906e-09 -3.55797008e-08]  | limits = [0.25, 0.6]
k=706, solve_time = 10.24 ms
du = [ 7.85815704e-09 -3.54238864e-08]  | limits = [0.25, 0.6]
k=707, solve_time = 10.24 ms
du = [ 7.82251963e-09 -3.52687565e-08]  | limits = [0.25, 0.6]
k=708, solve_time = 10.17 ms
du = [ 7.78703471e-09 -3.51143079e-08]  | limits = [0.25, 0.6]
k=709, solve_time = 10.22 ms
du = [ 7.75170167e-09 -3.49605369e-08]  | limits = [0.25, 0.6]
k=710, solve_time = 10.22 ms
du = [ 7.71652417e-09 -3.48074401e-08]  | limits = [0.25, 0.6]
k=711, solve_time = 10.20 ms
du = [ 7.68149947e-09 -3.46550140e-08]  | limits = [0.25, 0.6]
k=712, solve_time = 10.18 ms
du = [ 7.64661841e-09 -3.45032555e-08]  | limits = [0.25, 0.6]
k=713, solve_time = 10.10 ms
du = [ 7.61189739e-09 -3.43521609e-08]  | limits = [0.25, 0.6]
k=714, solve_time = 10.28 ms
du = [ 7.57731512e-09 -3.42017271e-08]  | limits = [0.25, 0.6]
k=715, solve_time = 10.26 ms
du = [ 7.54289335e-09 -3.40519506e-08]  | limits = [0.25, 0.6]
k=716, solve_time = 10.23 ms
du = [ 7.50861213e-09 -3.39028284e-08]  | limits = [0.25, 0.6]
k=717, solve_time = 10.23 ms
du = [ 7.47447343e-09 -3.37543570e-08]  | limits = [0.25, 0.6]
k=718, solve_time = 10.22 ms
du = [ 7.44048803e-09 -3.36065331e-08]  | limits = [0.25, 0.6]
k=719, solve_time = 10.20 ms
du = [ 7.40664713e-09 -3.34593536e-08]  | limits = [0.25, 0.6]
k=720, solve_time = 10.19 ms
du = [ 7.37295286e-09 -3.33128154e-08]  | limits = [0.25, 0.6]
k=721, solve_time = 10.19 ms
du = [ 7.33940011e-09 -3.31669153e-08]  | limits = [0.25, 0.6]
k=722, solve_time = 10.29 ms
du = [ 7.30598995e-09 -3.30216501e-08]  | limits = [0.25, 0.6]
k=723, solve_time = 10.28 ms
du = [ 7.27272247e-09 -3.28770166e-08]  | limits = [0.25, 0.6]
k=724, solve_time = 10.20 ms
du = [ 7.23960404e-09 -3.27330120e-08]  | limits = [0.25, 0.6]
k=725, solve_time = 10.24 ms
du = [ 7.20661515e-09 -3.25896329e-08]  | limits = [0.25, 0.6]
k=726, solve_time = 10.20 ms
du = [ 7.17377617e-09 -3.24468763e-08]  | limits = [0.25, 0.6]
k=727, solve_time = 10.30 ms
du = [ 7.14107944e-09 -3.23047395e-08]  | limits = [0.25, 0.6]
k=728, solve_time = 10.24 ms
du = [ 7.10850272e-09 -3.21632191e-08]  | limits = [0.25, 0.6]
k=729, solve_time = 10.24 ms
du = [ 7.07610090e-09 -3.20223123e-08]  | limits = [0.25, 0.6]
k=730, solve_time = 10.19 ms
du = [ 7.04379596e-09 -3.18820162e-08]  | limits = [0.25, 0.6]
k=731, solve_time = 10.25 ms
du = [ 7.01165344e-09 -3.17423277e-08]  | limits = [0.25, 0.6]
k=732, solve_time = 10.25 ms
du = [ 6.97963901e-09 -3.16032441e-08]  | limits = [0.25, 0.6]
k=733, solve_time = 10.28 ms
du = [ 6.94776974e-09 -3.14647623e-08]  | limits = [0.25, 0.6]
k=734, solve_time = 10.24 ms
du = [ 6.91602923e-09 -3.13268795e-08]  | limits = [0.25, 0.6]
k=735, solve_time = 10.26 ms
du = [ 6.88441485e-09 -3.11895927e-08]  | limits = [0.25, 0.6]
k=736, solve_time = 10.24 ms
du = [ 6.85295225e-09 -3.10528996e-08]  | limits = [0.25, 0.6]
k=737, solve_time = 10.17 ms
du = [ 6.82160618e-09 -3.09167968e-08]  | limits = [0.25, 0.6]
k=738, solve_time = 10.23 ms
du = [ 6.79040603e-09 -3.07812818e-08]  | limits = [0.25, 0.6]
k=739, solve_time = 10.23 ms
du = [ 6.75932948e-09 -3.06463517e-08]  | limits = [0.25, 0.6]
k=740, solve_time = 10.23 ms
